"start_time" "duration" "time_raw" "trial" "blocktrial" "faces_stim"
0 6.016 2085067 1 1 "im1_3fs__im2_2mh__im3_11fh__im4_1ms__im5_10mh__im6_15fs__im7_8fh__im8_7fs__im9_12fh__im10_5mh__im11_13ms__im12_9ms__im13_6mh__im14_14ms__im15_16fh__im16_4fs__"
9.962 6.015 2095029 2 2 "im1_9mh__im2_3fh__im3_15fh__im4_1mh__im5_8fs__im6_5ms__im7_11fs__im8_2ms__im9_14mh__im10_13mh__im11_7fh__im12_10ms__im13_12fs__im14_6ms__im15_16fs__im16_4fh__"
19.924 6.014 2104991 3 3 "im1_2ms__im2_1mh__im3_3fh__im4_11fs__im5_9mh__im6_13mh__im7_5ms__im8_10ms__im9_7fh__im10_8fs__im11_15fh__im12_12fs__im13_14mh__im14_4fh__im15_6ms__im16_16fs__"
29.919 6.014 2114986 4 4 "im1_2mh__im2_3fs__im3_16fh__im4_9ms__im5_12fh__im6_5mh__im7_7fs__im8_4fs__im9_10mh__im10_13ms__im11_11fh__im12_15fs__im13_1ms__im14_8fh__im15_6mh__im16_14ms__"
39.93 6.014 2124997 5 5 "im1_10mh__im2_8fh__im3_12fh__im4_7fs__im5_9ms__im6_6mh__im7_16fh__im8_2mh__im9_3fs__im10_1ms__im11_4fs__im12_14ms__im13_13ms__im14_11fh__im15_5mh__im16_15fs__"
49.891 6.015 2134958 6 6 "im1_8fs__im2_10ms__im3_7fh__im4_14mh__im5_2ms__im6_6ms__im7_1mh__im8_16fs__im9_4fh__im10_12fs__im11_3fh__im12_9mh__im13_11fs__im14_5ms__im15_15fh__im16_13mh__"
59.87 6.014 2144937 7 7 "im1_4fh__im2_11fs__im3_1mh__im4_5ms__im5_13mh__im6_15fh__im7_10ms__im8_12fs__im9_3fh__im10_9mh__im11_8fs__im12_6ms__im13_16fs__im14_2ms__im15_7fh__im16_14mh__"
69.992 6.004 2155059 8 8 "im1_6mh__im2_15fs__im3_9ms__im4_16fh__im5_8fh__im6_2mh__im7_11fh__im8_13ms__im9_4fs__im10_14ms__im11_7fs__im12_5mh__im13_12fh__im14_10mh__im15_3fs__im16_1ms__"
79.952 6.005 2165019 9 9 "im1_11fh__im2_1ms__im3_5mh__im4_4fs__im5_3fs__im6_9ms__im7_10mh__im8_12fh__im9_13ms__im10_8fh__im11_15fs__im12_6mh__im13_2mh__im14_16fh__im15_14ms__im16_7fs__"
89.922 6.013 2174989 10 10 "im1_6ms__im2_16fs__im3_8fs__im4_9mh__im5_15fh__im6_7fh__im7_13mh__im8_14mh__im9_2ms__im10_11fs__im11_5ms__im12_4fh__im13_1mh__im14_10ms__im15_3fh__im16_12fs__"
99.881 6.015 2184948 11 11 "im1_14mh__im2_5ms__im3_4fh__im4_16fs__im5_6ms__im6_10ms__im7_9mh__im8_15fh__im9_13mh__im10_3fh__im11_12fs__im12_8fs__im13_2ms__im14_11fs__im15_1mh__im16_7fh__"
109.904 6.004 2194971 12 12 "im1_7fs__im2_10mh__im3_14ms__im4_13ms__im5_11fh__im6_4fs__im7_1ms__im8_3fs__im9_2mh__im10_16fh__im11_6mh__im12_12fh__im13_15fs__im14_9ms__im15_8fh__im16_5mh__"
119.889 6.014 2204956 13 13 "im1_1ms__im2_11fh__im3_3fs__im4_2mh__im5_14ms__im6_8fh__im7_15fs__im8_5mh__im9_7fs__im10_10mh__im11_9ms__im12_13ms__im13_16fh__im14_6mh__im15_4fs__im16_12fh__"
129.848 6.016 2214915 14 14 "im1_4fs__im2_5mh__im3_1ms__im4_11fh__im5_13ms__im6_10mh__im7_9ms__im8_6mh__im9_15fs__im10_12fh__im11_3fs__im12_8fh__im13_14ms__im14_7fs__im15_2mh__im16_16fh__"
139.835 6.007 2224902 15 15 "im1_10ms__im2_14mh__im3_2ms__im4_7fh__im5_12fs__im6_16fs__im7_6ms__im8_8fs__im9_9mh__im10_1mh__im11_4fh__im12_3fh__im13_15fh__im14_13mh__im15_11fs__im16_5ms__"
150.032 6.006 2235099 16 16 "im1_9ms__im2_16fh__im3_2mh__im4_3fs__im5_7fs__im6_13ms__im7_5mh__im8_10mh__im9_14ms__im10_15fs__im11_8fh__im12_11fh__im13_4fs__im14_1ms__im15_12fh__im16_6mh__"
160.005 6.011 2245072 17 17 "im1_15fs__im2_13ms__im3_6mh__im4_12fh__im5_16fh__im6_11fh__im7_14ms__im8_8fh__im9_5mh__im10_7fs__im11_2mh__im12_1ms__im13_3fs__im14_4fs__im15_9ms__im16_10mh__"
169.962 6.016 2255029 18 18 "im1_7fh__im2_9mh__im3_10ms__im4_13mh__im5_3fh__im6_4fh__im7_2ms__im8_1mh__im9_6ms__im10_14mh__im11_16fs__im12_11fs__im13_8fs__im14_12fs__im15_5ms__im16_15fh__"
179.924 6.015 2264991 19 19 "im1_14ms__im2_7fs__im3_10mh__im4_8fh__im5_4fs__im6_1ms__im7_3fs__im8_16fh__im9_9ms__im10_6mh__im11_12fh__im12_2mh__im13_5mh__im14_15fs__im15_13ms__im16_11fh__"
189.885 6.015 2274952 20 20 "im1_3fh__im2_12fs__im3_16fs__im4_2ms__im5_11fs__im6_8fs__im7_15fh__im8_7fh__im9_10ms__im10_5ms__im11_13mh__im12_14mh__im13_6ms__im14_9mh__im15_4fh__im16_1mh__"
199.898 6.014 2284965 21 21 "im1_16fs__im2_2ms__im3_11fs__im4_3fh__im5_7fh__im6_9mh__im7_8fs__im8_13mh__im9_12fs__im10_15fh__im11_10ms__im12_5ms__im13_4fh__im14_1mh__im15_14mh__im16_6ms__"
210.37 6.006 2295437 22 22 "im1_12fh__im2_6mh__im3_13ms__im4_15fs__im5_5mh__im6_16fh__im7_2mh__im8_1ms__im9_11fh__im10_4fs__im11_14ms__im12_7fs__im13_8fh__im14_3fs__im15_10mh__im16_9ms__"
220.325 6.012 2305392 23 23 "im1_12fs__im2_7fh__im3_13mh__im4_10ms__im5_14mh__im6_1mh__im7_4fh__im8_3fh__im9_11fs__im10_16fs__im11_6ms__im12_2ms__im13_5ms__im14_15fh__im15_8fs__im16_9mh__"
230.285 6.014 2315352 24 24 "im1_1mh__im2_15fh__im3_9mh__im4_6ms__im5_4fh__im6_2ms__im7_14mh__im8_5ms__im9_8fs__im10_7fh__im11_11fs__im12_13mh__im13_10ms__im14_16fs__im15_12fs__im16_3fh__"
240.245 6.015 2325312 25 25 "im1_13ms__im2_12fh__im3_7fs__im4_10mh__im5_6mh__im6_14ms__im7_4fs__im8_11fh__im9_1ms__im10_2mh__im11_16fh__im12_3fs__im13_9ms__im14_5mh__im15_15fs__im16_8fh__"
250.207 6.014 2335274 26 26 "im1_5ms__im2_4fh__im3_14mh__im4_8fs__im5_16fs__im6_3fh__im7_12fs__im8_6ms__im9_15fh__im10_10ms__im11_9mh__im12_1mh__im13_13mh__im14_7fh__im15_2ms__im16_11fs__"
260.2 6.016 2345267 27 27 "im1_11fs__im2_8fs__im3_5ms__im4_4fh__im5_10ms__im6_12fs__im7_3fh__im8_9mh__im9_16fs__im10_6ms__im11_1mh__im12_15fh__im13_7fh__im14_14mh__im15_13mh__im16_2ms__"
270.163 6.014 2355230 28 28 "im1_15fh__im2_13mh__im3_6ms__im4_12fs__im5_5ms__im6_11fs__im7_7fh__im8_4fh__im9_1mh__im10_2ms__im11_14mh__im12_16fs__im13_3fh__im14_8fs__im15_9mh__im16_10ms__"
280.256 6.017 2365323 29 29 "im1_16fh__im2_9ms__im3_15fs__im4_6mh__im5_2mh__im6_7fs__im7_13ms__im8_14ms__im9_8fh__im10_11fh__im11_5mh__im12_4fs__im13_10mh__im14_12fh__im15_1ms__im16_3fs__"
290.219 6.015 2375286 30 30 "im1_5mh__im2_4fs__im3_8fh__im4_14ms__im5_15fs__im6_12fh__im7_6mh__im8_9ms__im9_16fh__im10_3fs__im11_1ms__im12_10mh__im13_7fs__im14_2mh__im15_11fh__im16_13ms__"
300.182 6.013 2385249 31 31 "im1_13mh__im2_6ms__im3_12fs__im4_15fh__im5_1mh__im6_14mh__im7_16fs__im8_11fs__im9_5ms__im10_4fh__im11_2ms__im12_7fh__im13_9mh__im14_3fh__im15_10ms__im16_8fs__"
310.234 6.006 2395301 32 32 "im1_8fh__im2_14ms__im3_4fs__im4_5mh__im5_1ms__im6_3fs__im7_12fh__im8_15fs__im9_6mh__im10_9ms__im11_10mh__im12_16fh__im13_11fh__im14_13ms__im15_7fs__im16_2mh__"
402.625 6.017 2487692 33 1 "im1_13mh__im2_9ms__im3_12fs__im4_15fh__im5_5ms__im6_2ms__im7_6mh__im8_8fs__im9_10mh__im10_4fh__im11_3fs__im12_16fh__im13_1ms__im14_7fs__im15_14mh__im16_11fh__"
412.587 6.016 2497654 34 2 "im1_5ms__im2_13mh__im3_15fh__im4_12fs__im5_4fh__im6_8fs__im7_2ms__im8_3fs__im9_9ms__im10_16fh__im11_6mh__im12_10mh__im13_14mh__im14_11fh__im15_1ms__im16_7fs__"
422.737 6.012 2507804 35 3 "im1_9mh__im2_7fh__im3_16fs__im4_6ms__im5_1mh__im6_10ms__im7_5mh__im8_14ms__im9_13ms__im10_11fs__im11_12fh__im12_15fs__im13_4fs__im14_8fh__im15_2mh__im16_3fh__"
432.987 6.008 2518054 36 4 "im1_7fs__im2_6mh__im3_1ms__im4_4fh__im5_2ms__im6_16fh__im7_5ms__im8_14mh__im9_12fs__im10_10mh__im11_8fs__im12_11fh__im13_9ms__im14_3fs__im15_13mh__im16_15fh__"
442.942 6.015 2528009 37 5 "im1_3fs__im2_10mh__im3_9ms__im4_16fh__im5_7fs__im6_14mh__im7_12fs__im8_15fh__im9_13mh__im10_11fh__im11_1ms__im12_5ms__im13_8fs__im14_4fh__im15_6mh__im16_2ms__"
452.904 6.014 2537971 38 6 "im1_10mh__im2_11fh__im3_2ms__im4_3fs__im5_1ms__im6_13mh__im7_15fh__im8_12fs__im9_14mh__im10_9ms__im11_7fs__im12_4fh__im13_16fh__im14_8fs__im15_5ms__im16_6mh__"
462.866 6.013 2547933 39 7 "im1_6ms__im2_9mh__im3_7fh__im4_16fs__im5_8fh__im6_11fs__im7_12fh__im8_15fs__im9_5mh__im10_14ms__im11_1mh__im12_10ms__im13_2mh__im14_13ms__im15_3fh__im16_4fs__"
473.305 6.005 2558372 40 8 "im1_5mh__im2_15fs__im3_13ms__im4_12fh__im5_9mh__im6_6ms__im7_2mh__im8_10ms__im9_16fs__im10_3fh__im11_4fs__im12_8fh__im13_7fh__im14_1mh__im15_11fs__im16_14ms__"
483.257 6.014 2568324 41 9 "im1_2ms__im2_16fh__im3_14mh__im4_11fh__im5_15fh__im6_9ms__im7_3fs__im8_7fs__im9_6mh__im10_13mh__im11_4fh__im12_1ms__im13_5ms__im14_10mh__im15_12fs__im16_8fs__"
493.439 6.012 2578506 42 10 "im1_1ms__im2_4fh__im3_7fs__im4_6mh__im5_8fs__im6_11fh__im7_10mh__im8_2ms__im9_16fh__im10_5ms__im11_12fs__im12_14mh__im13_3fs__im14_15fh__im15_9ms__im16_13mh__"
503.398 6.014 2588465 43 11 "im1_16fs__im2_3fh__im3_9mh__im4_8fh__im5_7fh__im6_14ms__im7_1mh__im8_5mh__im9_15fs__im10_12fh__im11_11fs__im12_13ms__im13_10ms__im14_4fs__im15_6ms__im16_2mh__"
